Cassette: ,300mm Blanket,,,
COLLECTION DATE/TIME: ,1/1/2016 19:18,,,
PROCESS DATE/TIME: ,1/1/2016 19:18,,,
EQUIPMENT: ,,,,
OPERATOR: ,CV,,,
SHIFT: ,,,,
MACHINE TYPE: ,KLA-F5x,,,
,,,,
,,,,
,,,,
WAFER ID,Slot01,,,
LOT ID,Native oxide,,,
Cassette,Right,,,
SLOT,1,,,
STATUS,,,,
DATA TYPE,SE,,,
RECIPE,Native oxide on Si measurement,,,
RCP CNT,1,,,
MEAS SET,Measurement Results,,,
MATERIAL,"Thermal SiO2, Woollam",,,
SITE,1,,,
RESULT TYPE,1st Thickness,GOF ,,
MEAN,9.7878,0.9913,,
MIN,9.5002,0.9895,,
MAX,10.6835,0.9919,,
% STDDEV,2.4946,0.0449,,
STDDEV,0.2442,0.0004,,
3 % STDDEV,7.4837,0.1348,,
3 STDDEV,0.7325,0.0013,,
RANGE,1.1833,0.0024,,
Site #,Value,Value, X , Y 
1,9.5113,0.9916,0,0
2,9.5264,0.9913,-0.0001,49
3,9.5519,0.9916,-34.6483,34.648
4,9.6256,0.9914,-49,-0.0001
5,9.7116,0.9913,-34.648,-34.6483
6,9.6783,0.9919,0.0001,-49
7,9.6368,0.9912,34.6483,-34.648
8,9.5644,0.9913,49,0.0001
9,9.5292,0.9913,34.648,34.6483
10,9.6891,0.9911,-0.0003,98
11,9.567,0.9918,-37.5034,90.5401
12,9.5146,0.9918,-69.2967,69.2962
13,9.6245,0.9916,-90.5404,37.5026
14,9.6789,0.9914,-98,-0.0004
15,9.6054,0.9914,-90.5401,-37.5034
16,9.7291,0.9913,-69.2962,-69.2967
17,9.7452,0.9913,-37.5026,-90.5404
18,9.9231,0.9897,0.0004,-98
19,9.7172,0.9911,37.5034,-90.5401
20,9.6865,0.9911,69.2968,-69.2962
21,9.6325,0.9913,90.5404,-37.5026
22,9.5929,0.9915,98,0.0004
23,9.5955,0.9913,90.5401,37.5034
24,9.5002,0.9916,69.2961,69.2968
25,10.013,0.9895,37.5026,90.5404
26,9.75,0.9915,-0.0006,147
27,9.8942,0.9919,-38.047,141.991
28,9.6941,0.9919,-73.5004,127.3055
29,9.708,0.9918,-103.945,103.9443
30,9.8358,0.9917,-127.306,73.4996
31,9.8557,0.9915,-141.9913,38.0458
32,9.9964,0.9915,-147,-0.0006
33,9.9573,0.9914,-141.991,-38.047
34,10.0877,0.991,-127.3054,-73.5004
35,9.9159,0.9914,-103.9443,-103.9452
36,10.0031,0.9911,-73.4994,-127.306
37,10.3437,0.991,-38.0458,-141.9913
38,10.6835,0.9909,0.0006,-147
39,10.4564,0.991,38.047,-141.991
40,10.0146,0.991,73.5006,-127.3054
41,9.9641,0.9912,103.9452,-103.9443
42,9.9903,0.9915,127.3061,-73.4994
43,9.8814,0.9915,141.9913,-38.0458
44,9.8588,0.9914,147,0.0006
45,9.7895,0.9914,141.991,38.047
46,9.7484,0.9916,127.3054,73.5006
47,9.618,0.9915,103.9443,103.9452
48,9.685,0.9916,73.4994,127.3061
49,9.718,0.9911,38.0458,141.9913
,,,,
WAFER ID,Slot02,,,
LOT ID,Native oxide,,,
Cassette,Right,,,
SLOT,2,,,
STATUS,,,,
DATA TYPE,SE,,,
